,SSIM_Median,SSIM_AVG,SSIM_Weiss,SSIM_RPCA,SSIM_DeepSetGan,MSE_Median,MSE_AVG,MSE_Weiss,MSE_RPCA,MSE_DeepSetGan,PSNR_Median,PSNR_AVG,PSNR_Weiss,PSNR_RPCA,PSNR_DeepSetGan,SSIM_norm_Median,SSIM_norm_AVG,SSIM_norm_Weiss,SSIM_norm_RPCA,SSIM_norm_DeepSetGan,MSE_norm_Median,MSE_norm_AVG,MSE_norm_Weiss,MSE_norm_RPCA,MSE_norm_DeepSetGan,PSNR_norm_Median,PSNR_norm_AVG,PSNR_norm_Weiss,PSNR_norm_RPCA,PSNR_norm_DeepSetGan,id,Images
68,0.9291872360293918,0.8944730448822412,0.5678401713339517,0.9675873348510153,0.9192583016825043,364.5953369140625,780.1898803710938,5939.265625,45.02067565917969,101.2750015258789,22.512692873861106,19.087862500596092,10.445853191217527,31.29159637536739,28.07578091563272,0.9389721402936959,0.9224873902090983,0.9792024118404506,0.9678985590551795,0.921869457363565,112.6880111694336,150.1188507080078,27.80222511291504,41.76900863647461,101.34696197509766,27.612026173698222,26.366451300208233,33.69000795464796,31.796170937503003,28.072695717729836,219517,9
69,0.9080420072053305,0.8533145763815937,0.5563986353035256,0.452807791405232,0.9429783216255928,680.5150756835938,762.1010131835938,7479.44287109375,1073.8583984375,218.36228942871094,19.80242577687789,19.33518791546844,9.429259166867435,6.0551461217550475,24.739027420629945,0.9222381074945285,0.8882795693060853,0.9675424514769569,0.267868133207147,0.9107534442731214,289.90283203125,427.9818420410156,170.6097869873047,267.0769958496094,169.96095275878906,23.508279181527612,21.81654996603701,25.810764201286336,6.6968305447391945,25.827311779034112,219518,9
70,0.9080420072053305,0.8533145763815937,0.5563986353035256,0.6850038550001766,0.9429782484065177,680.5150756835938,762.1010131835938,7479.44287109375,874.3837280273438,218.36219787597656,19.80242577687789,19.33518791546844,9.429259166867435,9.92723682363806,24.739028938018635,0.9222381074945285,0.8882795693060853,0.9675424514769569,0.6532990039626569,0.9107535266393216,289.90283203125,427.9818420410156,170.6097869873047,266.4532165527344,169.96046447753906,23.508279181527612,21.81654996603701,25.810764201286336,10.47843778431498,25.827324255908415,219518,9
71,0.9080420072053305,0.8533145763815937,0.5563986353035256,0.6412225897693459,0.9429783956941081,680.5150756835938,762.1010131835938,7479.44287109375,899.4939575195312,218.36219787597656,19.80242577687789,19.33518791546844,9.429259166867435,8.925005454656633,24.739029241496432,0.9222381074945285,0.8882795693060853,0.9675424514769569,0.5795509666567747,0.9107535690008719,289.90283203125,427.9818420410156,170.6097869873047,267.1736755371094,169.9605712890625,23.508279181527612,21.81654996603701,25.810764201286336,9.46795565223144,25.8273215265891,219518,9
72,0.9069031195170503,0.8530085217222831,0.5650759551777935,0.9100060815448577,0.8762529888030887,389.2200622558594,581.6035766601562,10478.587890625,398.9668273925781,110.68841552734375,22.228851544390853,20.366465256277447,7.96860057798169,21.9452854639679,27.68978210133545,0.9285164222475056,0.8772193538761862,0.960613055382279,0.9356920993138779,0.8780636520940085,89.76495361328125,166.34107971191406,43.48197555541992,79.36880493164062,108.19955444335938,28.599735746793247,25.92080871286004,31.747711060167205,29.13430519752162,27.788548884817295,219519,9
73,0.9069031195170503,0.8530085217222831,0.5650759551777935,0.9236722509758918,0.876252409634326,389.2200622558594,581.6035766601562,10478.587890625,214.58778381347656,110.68851470947266,22.228851544390853,20.366465256277447,7.96860057798169,24.601806684939838,27.689777910505295,0.9285164222475056,0.8772193538761862,0.960613055382279,0.935710042228131,0.8780630767922127,89.76495361328125,166.34107971191406,43.48197555541992,79.40642547607422,108.19962310791016,28.599735746793247,25.92080871286004,31.747711060167205,29.13224728320953,27.788546026663816,219519,9
74,0.9069031195170503,0.8530085217222831,0.5650759551777935,0.7866486565645178,0.8762524066258986,389.2200622558594,581.6035766601562,10478.587890625,1992.3370361328125,110.68853759765625,22.228851544390853,20.366465256277447,7.96860057798169,15.049843216142893,27.689777112252393,0.9285164222475056,0.8772193538761862,0.960613055382279,0.9355251794938413,0.8780630930906841,89.76495361328125,166.34107971191406,43.48197555541992,79.3799819946289,108.19963836669922,28.599735746793247,25.92080871286004,31.747711060167205,29.13369350891953,27.78854521004888,219519,9
75,0.5922682407091476,0.5598280998112982,0.21203536046917412,0.5896466523531039,0.8711036709559353,1222.7713623046875,1434.0025634765625,21436.990234375,1355.921630859375,119.28426361083984,17.257351002035396,16.64044070655788,4.84751089447835,16.89851671195608,27.36497197777126,0.816207248277061,0.8162461105118934,0.8174872297834987,0.8136586121511652,0.8845905566718258,285.13238525390625,296.0303039550781,333.2731628417969,315.65545654296875,109.57485961914062,23.58033821462285,23.41744167400344,22.902800178013784,23.1386705275842,27.733694379340797,219520,9
76,0.5922682407091476,0.5598280998112982,0.21203536046917412,0.45744808128875963,0.8711036709559353,1222.7713623046875,1434.0025634765625,21436.990234375,2565.63623046875,119.28426361083984,17.257351002035396,16.64044070655788,4.84751089447835,12.56207142480688,27.36497197777126,0.816207248277061,0.8162461105118934,0.8174872297834987,0.7351603286235341,0.8845905566718258,285.13238525390625,296.0303039550781,333.2731628417969,315.00616455078125,109.57485961914062,23.58033821462285,23.41744167400344,22.902800178013784,15.888052566048286,27.733694379340797,219520,9
77,0.5922682407091476,0.5598280998112982,0.21203536046917412,0.5802306113596504,0.8711034956288092,1222.7713623046875,1434.0025634765625,21436.990234375,1523.7750244140625,119.2841567993164,17.257351002035396,16.64044070655788,4.84751089447835,16.32103214017456,27.36497549624034,0.816207248277061,0.8162461105118934,0.8174872297834987,0.8123649399217427,0.8845903780423375,285.13238525390625,296.0303039550781,333.2731628417969,315.3741455078125,109.57471466064453,23.58033821462285,23.41744167400344,22.902800178013784,22.81294458275297,27.733700225498055,219520,9
78,0.7037227783215295,0.6448064656871376,0.5623803738793722,0.7012849839844374,0.7032953698285608,784.62060546875,1165.3330078125,5682.80859375,2181.5205078125,1600.7816162109375,19.184206882132493,17.39413327974843,10.635442143377974,14.662597826194625,16.087482810404545,0.7202217545415208,0.6326825800634265,0.7654039252153702,0.7373474166122099,0.733440359119626,507.0540771484375,720.5448608398438,719.562744140625,450.2166442871094,512.2537231445312,21.080261209103945,19.55419332806747,19.56011657741716,21.5965883387953,21.035952674446353,219521,9
