,SSIM_Median,SSIM_AVG,SSIM_Weiss,SSIM_RPCA,SSIM_DeepSet,SSIM_DeepSetGan,MSE_Median,MSE_AVG,MSE_Weiss,MSE_RPCA,MSE_DeepSet,MSE_DeepSetGan,PSNR_Median,PSNR_AVG,PSNR_Weiss,PSNR_RPCA,PSNR_DeepSet,PSNR_DeepSetGan,SSIM_norm_Median,SSIM_norm_AVG,SSIM_norm_Weiss,SSIM_norm_RPCA,SSIM_norm_DeepSet,SSIM_norm_DeepSetGan,MSE_norm_Median,MSE_norm_AVG,MSE_norm_Weiss,MSE_norm_RPCA,MSE_norm_DeepSet,MSE_norm_DeepSetGan,PSNR_norm_Median,PSNR_norm_AVG,PSNR_norm_Weiss,PSNR_norm_RPCA,PSNR_norm_DeepSet,PSNR_norm_DeepSetGan,id,Images
981,0.6527489656819762,0.6527489656819762,0.40047042912162195,0.514417125350117,0.7992804819591521,0.690268070640136,1574.6927490234375,1574.6927490234375,14916.1259765625,2489.12646484375,611.4934692382812,968.3573608398438,16.185160109899087,16.185160109899087,6.427231466570609,12.686224754939095,20.266885341316865,18.27044643424112,0.6674892018115366,0.6674892018115366,0.6530291728006467,0.5394876324855852,0.7960550913937379,0.6808690973297105,1281.4259033203125,1281.4259033203125,1560.365234375,1798.71728515625,609.5822143554688,979.1237182617188,17.053868396895485,17.053868396895485,16.19854074157995,13.532865583964234,20.280481026544166,18.222427763011297,219822,2
982,0.7688272749525881,0.7688272749525881,0.4386776673225465,0.6610840054316446,0.8925685370711768,0.8093097975997582,1222.4520263671875,1222.4520263671875,15440.4326171875,2629.077880859375,255.5445556640625,331.5796203613281,17.30301867516465,17.30301867516465,6.277106234067363,12.568798390112274,24.05613719408622,22.92492497588132,0.8088939338162812,0.8088939338162812,0.7950289549770501,0.7395385394744975,0.8956401570770338,0.8200061208852008,586.99462890625,586.99462890625,754.427978515625,636.3010864257812,173.8501434326172,261.640869140625,20.444462372284825,20.444462372284825,19.35462565926292,15.940341399608444,25.729052821279737,23.953748030575603,219822,2
983,0.8253026657789057,0.8253026657789057,0.46259729070224825,0.7513997983253965,0.885049537092681,0.8212821197664727,667.9058837890625,667.9058837890625,14553.6201171875,1343.3206787109375,308.5047912597656,314.39892578125,19.931852327485423,19.931852327485423,6.535160879064033,16.139939096981898,23.238184977200213,23.155993354720632,0.8460372112627299,0.8460372112627299,0.8300419938533522,0.7910975364459678,0.8980075076973009,0.8240937498052147,429.1054992675781,429.1054992675781,474.0102233886719,617.9986572265625,226.7393035888672,271.409912109375,21.805162136107988,21.805162136107988,21.372926429677015,18.715844643573508,24.57553513496272,23.794546564690346,219822,2
984,0.4583973131285591,0.4583973131285591,0.35246523628833715,0.3896312781055639,0.4576642174753362,0.46030838873377716,2616.2734375,2616.2734375,9290.912109375,2273.418212890625,3210.688720703125,3098.597412109375,13.934468644813332,13.934468644813332,8.484450488694536,13.584552804838832,13.064821447598314,13.219151628426637,0.4449628066727689,0.4449628066727689,0.45197822262191023,0.366747553728173,0.5993538562126007,0.5771754388806507,1836.23046875,1836.23046875,2218.982666015625,2131.482421875,1255.06884765625,1099.8651123046875,15.491531738678983,15.491531738678983,14.669264601517858,13.789000866723306,17.144127633575582,17.717409083043286,219823,2
985,0.4456712083193452,0.4456712083193452,0.38006404985013936,0.43518085346684005,0.5285602021511414,0.4739763866355406,2264.251708984375,2264.251708984375,9323.5244140625,2409.436279296875,2425.396484375,2126.818115234375,14.567491998283359,14.567491998283359,8.47008959180349,14.275241948273452,14.282976308068928,14.85350025673454,0.44122915688155556,0.44122915688155556,0.44266159220758045,0.4337316265332245,0.6150916735569542,0.56653042619882,1949.6956787109375,1949.6956787109375,2185.241943359375,1982.8271484375,1017.2699584960938,1053.7327880859375,15.231135634697443,15.231135634697443,14.735808331317577,15.157955410917314,18.056441263465807,17.903498649469764,219823,2
986,0.4840340088662134,0.4840340088662134,0.36754230739241417,0.44135674428301913,0.4914520162800944,0.47761911535527696,1677.1015625,1677.1015625,9722.0615234375,1563.2525634765625,2942.664306640625,2338.684326171875,15.870029085010726,15.870029085010726,8.288038849976784,13.626808962550566,13.443396521645525,14.441087530074677,0.475731921807614,0.475731921807614,0.4617948372914138,0.4200469572791287,0.6014689197056182,0.5728440878798416,1468.4296875,1468.4296875,1771.0150146484375,1540.7901611328125,1184.6749267578125,1000.41015625,16.46227170141111,16.46227170141111,15.64858138921354,13.603569344390603,17.39481117394731,18.129022665840797,219823,2
987,0.42509880461107435,0.42509880461107435,0.40131140276430594,0.43036934276575733,0.5435260294478778,0.44312296657327993,5780.12744140625,5780.12744140625,5046.6328125,6395.81787109375,3309.757080078125,4919.31103515625,10.488709995199095,10.488709995199095,11.142319189194584,10.027476241386902,12.932842490143198,11.211760875672049,0.4502633336118493,0.4502633336118493,0.45502648985479555,0.4669816801243704,0.6076145469517701,0.4903481885550713,2066.52197265625,2066.52197265625,1977.5870361328125,1930.3380126953125,1242.4354248046875,1845.7384033203125,14.978403388581834,14.978403388581834,15.169447298487157,15.274469532442978,17.1880657786657,15.469101633469577,219824,2
988,0.42509880461107435,0.42509880461107435,0.40131140276430594,0.43036934276575733,0.5435260294478778,0.44312296657327993,5780.12744140625,5780.12744140625,5046.6328125,6395.81787109375,3309.757080078125,4919.31103515625,10.488709995199095,10.488709995199095,11.142319189194584,10.027476241386902,12.932842490143198,11.211760875672049,0.4502633336118493,0.4502633336118493,0.45502648985479555,0.4669816801243704,0.6076145469517701,0.4903481885550713,2066.52197265625,2066.52197265625,1977.5870361328125,1930.3380126953125,1242.4354248046875,1845.7384033203125,14.978403388581834,14.978403388581834,15.169447298487157,15.274469532442978,17.1880657786657,15.469101633469577,219824,2
989,0.42509880461107435,0.42509880461107435,0.40131140276430594,0.4421503648532239,0.5435260294478778,0.44312296657327993,5780.12744140625,5780.12744140625,5046.6328125,5495.14990234375,3309.757080078125,4919.31103515625,10.488709995199095,10.488709995199095,11.142319189194584,10.684527251557789,12.932842490143198,11.211760875672049,0.4502633336118493,0.4502633336118493,0.45502648985479555,0.4668875402059453,0.6076145469517701,0.4903481885550713,2066.52197265625,2066.52197265625,1977.5870361328125,1931.7239990234375,1242.4354248046875,1845.7384033203125,14.978403388581834,14.978403388581834,15.169447298487157,15.271353049484153,17.1880657786657,15.469101633469577,219824,2
990,0.7509217333894043,0.7509217333894043,0.4236526054565828,0.694579954699297,0.8763934372135261,0.8219879980355711,2358.527099609375,2358.527099609375,14767.5,1729.5086669921875,466.1965026855469,567.8461303710938,14.42910252917313,14.42910252917313,6.471293782772487,15.734252944487594,21.44511411259608,20.58849721389278,0.7757950964017558,0.7757950964017558,0.7833584771205957,0.7724463910866634,0.8871670536493679,0.8365111244062445,1861.8280029296875,1861.8280029296875,1766.0975341796875,2155.308349609375,271.6459045410156,367.2726135253906,15.431407873965469,15.431407873965469,15.660657254753861,14.795709863972313,23.790771258877296,22.48091815420068,219825,2
